Writer_ID,Name,Birth_Year,Nationality_ID,Biography
WT001,Jane Austen,1775,NT002,"Novelist known for her six major novels, including 'Pride and Prejudice' and 'Sense and Sensibility,' which critique the British landed gentry at the end of the 18th century."
WT002,Harper Lee,1926,NT001,"Author of 'To Kill a Mockingbird,' a novel that addresses serious issues like racial injustice and moral growth in the Deep South."
WT003,George Orwell,1903,NT002,"Novelist and essayist, known for his works '1984' and 'Animal Farm,' which critique totalitarianism and social injustice."
WT004,F. Scott Fitzgerald,1896,NT001,"Novelist and short story writer, best known for 'The Great Gatsby,' a depiction of the American Jazz Age and its moral decay."
WT005,Herman Melville,1819,NT001,"Author of 'Moby-Dick,' a complex novel exploring themes of obsession, revenge, and humanity's relationship with nature."
WT006,Leo Tolstoy,1828,NT003,"Renowned for epic novels 'War and Peace' and 'Anna Karenina,' which explore themes of love, family, and morality."
WT007,Fyodor Dostoevsky,1821,NT003,"Philosopher and novelist known for works like 'Crime and Punishment' and 'The Brothers Karamazov,' exploring psychological and existential themes."
WT008,J.D. Salinger,1919,NT001,"Best known for 'The Catcher in the Rye,' a novel that explores themes of teenage angst and alienation."
WT009,Emily Brontë,1818,NT002,"Poet and novelist, known for 'Wuthering Heights,' a tale of passion and revenge set on the Yorkshire moors."
WT010,Aldous Huxley,1894,NT002,"Author of 'Brave New World,' a dystopian novel that critiques consumerism and technological advancement."
WT011,Frank Herbert,1920,NT001,"Best known for 'Dune,' a science fiction novel that explores politics, religion, and ecology in a distant future."
WT012,J.R.R. Tolkien,1892,NT002,"Author of 'The Hobbit' and 'The Lord of the Rings,' foundational works in the fantasy genre, known for their rich world-building."
WT013,William Gibson,1948,NT001,"Known for pioneering the cyberpunk genre with his novel 'Neuromancer,' exploring themes of technology and society."
WT014,Ursula K. Le Guin,1929,NT001,"Author of 'The Left Hand of Darkness' and 'The Dispossessed,' known for her thought-provoking science fiction and fantasy."
WT015,Isaac Asimov,1920,NT001,"Famous for his works in science fiction, including the 'Foundation' series and 'I, Robot,' exploring robotics and ethics."
WT016,Ray Bradbury,1920,NT001,"Author of 'Fahrenheit 451,' a dystopian novel that critiques censorship and the suppression of dissenting ideas."
WT017,Neal Stephenson,1959,NT001,"Known for speculative fiction works like 'Snow Crash' and 'Cryptonomicon,' exploring technology and society."
WT018,Orson Scott Card,1951,NT001,"Best known for 'Ender's Game,' a science fiction novel that examines themes of leadership and morality in warfare."
WT019,Neil Gaiman,1960,NT002,"Author of 'American Gods' and 'Coraline,' known for blending fantasy with mythology and horror."
WT020,Gillian Flynn,1971,NT001,"Author of psychological thrillers like 'Gone Girl,' known for her complex characters and dark themes."
WT021,Stieg Larsson,1954,NT004,"Best known for the 'Millennium' series, including 'The Girl with the Dragon Tattoo,' which combines crime and social commentary."
WT022,Arthur Conan Doyle,1859,NT002,"Creator of Sherlock Holmes, the iconic detective known for his logical reasoning and keen observation."
WT023,Agatha Christie,1890,NT002,Prolific mystery writer known for her detective novels featuring Hercule Poirot and Miss Marple.
WT024,Dan Brown,1964,NT001,"Author of thrillers like 'The Da Vinci Code,' known for blending history, art, and conspiracy."
WT025,Tana French,1973,NT005,"Author of psychological crime thrillers, including 'In the Woods,' known for her character-driven narratives."
WT026,Daphne du Maurier,1907,NT002,"Known for novels like 'Rebecca,' which blend romance and suspense with gothic elements."
WT027,Liane Moriarty,1967,NT006,"Author of bestselling novels like 'Big Little Lies,' which explore complex relationships and social issues."
WT028,Thomas Harris,1940,NT001,"Best known for his psychological thrillers featuring Dr. Hannibal Lecter, including 'The Silence of the Lambs.'"
WT029,Stephen King,1947,NT001,"Prolific author known for horror, supernatural fiction, suspense, and fantasy novels, including 'The Shining' and 'It.'"
WT030,Margaret Atwood,1939,NT007,"Author of 'The Handmaid's Tale' and 'Oryx and Crake,' known for her speculative fiction and feminist themes."
WT031,Chimamanda Ngozi Adichie,1977,NT008,"Author of 'Half of a Yellow Sun' and 'Americanah,' known for her exploration of identity, feminism, and post-colonialism."
WT032,Salman Rushdie,1947,NT009,"Known for 'Midnight's Children' and 'The Satanic Verses,' blending magical realism with historical fiction."
WT033,J.K. Rowling,1965,NT002,"Author of the 'Harry Potter' series, a global phenomenon that has captivated readers of all ages."
WT034,John Grisham,1955,NT001,"Best known for his legal thrillers, including 'A Time to Kill' and 'The Firm.'"
WT035,Elena Ferrante,1943,NT010,"Author of the 'Neapolitan Novels,' exploring female friendship and identity against the backdrop of Naples."
WT036,Colson Whitehead,1969,NT001,"Author of 'The Underground Railroad' and 'The Nickel Boys,' known for blending history with fiction."
WT037,Danielle Steel,1947,NT001,"Prolific author known for her romance novels, with over 180 published works."
WT038,Michael Connelly,1956,NT001,"Best known for his crime novels featuring detective Harry Bosch, including 'The Black Echo.'"
WT039,Patricia Highsmith,1921,NT001,"Known for psychological thrillers, including 'Strangers on a Train' and the Tom Ripley series."
